1015531121313661 641U  3 3121211  211148621 9411 22431 .69                              
10156911213133605342S  123351211  232165321 2113122611 .57                              
1015761121513303 845U  3 23512122 132178621 4213911631 .58                              
10157711213136181723S  3 2141211  212154521 6313122421 .87                              
10158411213138014944S  3 2251211  222169521 8431 22621 .64                              
10158711213139132024U  9 2351211  211255621 8413922531 .56                              
1015901121313520 442U  133232111  522226621 1133222231 .87                              
10159211213133075641R  112151211  211147621 9431 22431 .69                              
1016021121313719 841R  3 21511121 22225862199932 12531 .78                              
10160311213139154833U  111292121  13226752199913222621 .33                              
1016091121513719 841R  3 2151211  232265621 6311 22631 .33                              
10161111213133075641R  3 3351211  232264321 4233122511 .91                              
10162011215133075641U  9 3251111  332276321 3113222611 .79                              
10162111213132081643S  111359121  232187821 5222 22631 .42                              
1016231121513707 643U  1223512222 421221322 1112 111121.77                              
10162611213134063041R  3 39519292 132281321 2111 22611 .40                              
10162711213132081641R  3 2151291  232270321 4211 22611 .63                              
1016341121313510 645U  1912921222 132260221 21232115111.21                              
1016371121313602 443U  3 2251211  331199621 8411 22931 .52                              
1016401121313916 642S  131232121  132170621 7413922631 .32                              
10164511215136411921R  131232121  132184321 2112 22611 .41                              
10164611213132702132U  3 2321121  132185821 7411 22631 .32                              
10165611215133254832U  3 2121211  23217432199911 22611 .56                              
10166111215135414141R  3 2151211  232172421 4211 22621 .52                              
1016691121313650 644S  1122512122 132150421 4211 114211.11                              
10167111215138014944U  111251121  211244621 9411 223311.19                              
1016771121413925 644S  131252121  132274421 3112 22621 .44                              
10167811213137023242U  131232111  332118323 9432 22114 .64                              
1016861121313501 531S  3 2151211  232259421 8411 22521 .79                              
10169111213132104834U  1311512121 231247421 6311 124211.96                              
10169411213133605342S  121929911  132283621 5213222631 .32                              
1016961121313870 531R  139352191  932263325 1133222514 .83                              
10169711213135414141U  122351221  132282321 2113122611 .40                              
1016991121313626 645S  131151211  21216082199433122531 .78                              
1017161121313334 131S  122231211  231267322 3112 22612 .49                              
10171811213133254832U  3 2351211  23229942999915922929 .48                              
10173211213134054031S  3 2351911  212170521 2111 22621 .50                              
1017341121313831 643S  131232121  232239621 5212 22331 .93                              
1017371121313707 641R  131212121  22226462199912 22531 .47                              
1017411121313707 643S  133251121  22225352199134922421 .95                              
10174811213135414141R  3 23212122 132169321 1111 11611 .64                              
10175011214137323414S  191492121  322158821 8413222531 .98                              
10175211214135853614U  131251121  632169222 4212 22612 .94                              
10175711214133045432U  1121211222 232176321 7411 116111.09                              
10176311214138432621S  1312111122 132255322 1112 11512 .68                              
10176411214133473615U  131252111  231154322 63132224121.60                              
10177711214137163613S  121252121  232176421 4215222621 .56                              
10178311214139411233S  131252211  212155322 4212 22512 .64                              
10178811214139132921S  1233511121 332289321 5232 126111.52                              
10179511214138453613S  121151121  312254321 42131224111.58                              
1017971121413870 531R  111351911  231242621 5223922331 .94                              
1017981121413479 531R  121231121  332155521 2113922521 .82                              
10179911214136362923U  121151211  212257999 9412 22599 .83                              
10180111214135124834S  131212121  432270521 6312 22621 .86                              
10180911214138644533S  113251121  211247821 8413122431 .46                              
10181711214137035135S  131212121  211134821 6313222231 .56                              
10182011214137731725U  3 2151211  412160629 8413122539 .96                              
10182511214139205523U  9 2359991  132277321 7411 22611 .37                              
10183411214133191922U  3 2251211  112141621 6313122331 .38                              
10184011214139364831R  3 2151211  432255621 2111 22531 .57                              
